{'step': 167, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 168, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 169, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 170, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 171, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 172, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 173, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 174, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 175, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 176, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 177, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 178, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 179, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 180, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 181, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 182, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 183, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 184, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 185, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 186, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 187, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 188, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 189, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 190, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 191, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 192, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 193, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 194, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 195, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 196, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 197, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 198, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 199, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
{'step': 200, 'rush': False, 'rush_multiplier': 1.0, 'collisions': 0, 'violators': 0}
